,name,location,at_student_home,at_online,at_teacher_home,rate,review,price,languages,picture,seniority,trusted_teacher,Bachelor's degree,Master's degree,Other studies,PhD,Student,Teach Arabic,Teach Business,Teach Computers,Teach English,Teach French,Teach Humanities,Teach Language Skills,Teach Math,Teach Music,Teach Other Languages,Teach Sciences,Teach Spanish,Teach Sports,Teach Telecommunications,Tech Arts,region,0-3,13-17,18-64,4-6,65+,7-12,Advanced,Beginner,Intermediate,region_code,location_code
3942,Guillaume,France,1.0,1,1.0,5.0,1,111.94,2.0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,14
3943,Che,United Kingdom,1.0,1,0.0,5.0,1,148.9,1.0,0,2,1.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Central Europe,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7,15
3944,Cédric,Belgium,0.0,1,1.0,5.0,3,92.64,2.0,0,2,1.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,7
3945,Youness,France,1.0,1,1.0,5.0,1,96.5,3.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,14
3946,Pau,Netherlands,1.0,1,1.0,5.0,3,154.4,3.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
3947,Ariane,France,1.0,1,0.0,0.0,0,138.96,2.0,0,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,14
3948,Carla Peña,Netherlands,1.0,1,1.0,0.0,0,193.0,5.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
3949,Caoimhe,France,0.0,1,0.0,5.0,4,92.64,3.0,0,5,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,West Europe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,14
3950,Sara,Netherlands,1.0,1,1.0,5.0,1,135.1,2.0,0,2,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
3951,Pauline,Switzerland,0.0,1,1.0,5.0,2,373.63,2.0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,6
3952,Adriaan,Spain,0.0,1,0.0,4.85,6,146.68,4.0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,13
3953,Bettine,United Kingdom,1.0,1,0.0,0.0,0,171.46,2.0,0,4,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Central Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,15
3954,Serdane,Belgium,1.0,1,1.0,4.9,24,123.52,5.0,0,6,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,7
3955,Sofia,Switzerland,0.0,1,1.0,5.0,4,262.33,4.0,0,2,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,6
3956,Mai Han,Belgium,0.0,1,0.0,5.0,2,111.94,3.0,0,4,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,7
3957,Marjan,Turkey,0.0,1,0.0,5.0,2,143.58,3.0,0,5,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,West Asia,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2,19
3958,Assia,France,0.0,1,0.0,5.0,2,154.4,4.0,0,8,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,14
3959,Mila,Luxembourg,0.0,1,0.0,5.0,2,50.18,4.0,0,4,1.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,24
3960,Lhoussain,Belgium,0.0,1,0.0,5.0,1,115.8,3.0,0,3,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,7
3961,Seen Tung,Netherlands,1.0,1,1.0,5.0,3,173.7,2.0,0,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
3962,Felipe,Switzerland,1.0,1,0.0,5.0,5,151.04,5.0,0,7,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,6
3963,Kenzie,Vietnam,0.0,1,0.0,5.0,2,455.86,1.0,0,3,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,East Asia,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4,49
3964,Vinicius,Netherlands,1.0,1,1.0,5.0,2,92.64,2.0,0,5,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
